Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified,Possible Mitigation(s),SDL Phase
163,An adversary may gain unauthorized access to Web API due to poor access control checks,Elevation of Privileges,Mango System Diagram,Web App Request,High,Not Started,DESKTOP-C5TV2FF\pkolosov,An adversary may gain unauthorized access to Web API due to poor access control checks,,10/2/2021 10:50:07 PM,Implement proper authorization mechanism in ASP.NET Web API. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthz#authz-aspnet&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthz#authz-aspnet&amp;amp;lt;/a&amp;amp;gt;,Implementation
1,An adversary can gain access to sensitive information from an API through error messages,Information Disclosure,Mango System Diagram,Web App Request,High,Not Started,DESKTOP-C5TV2FF\pkolosov,"An adversary can gain access to sensitive data such as the following, through verbose error messages - Server names - Connection strings - Usernames - Passwords - SQL procedures - Details of dynamic SQL failures - Stack trace and lines of code - Variables stored in memory - Drive and folder locations - Application install points - Host configuration settings - Other internal application details ",,10/2/2021 10:50:23 PM,Ensure that proper exception handling is done in ASP.NET Web API. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#exception&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#exception&amp;amp;lt;/a&amp;amp;gt;,Implementation
2,An adversary can gain access to sensitive data by sniffing traffic to Web API,Information Disclosure,Mango System Diagram,Web App Request,High,Not Started,DESKTOP-C5TV2FF\pkolosov,An adversary can gain access to sensitive data by sniffing traffic to Web API,,10/2/2021 10:50:48 PM,Force all traffic to Web APIs over HTTPS connection. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcommsec#webapi-https&amp;quot;&amp;amp;gt;https://aka.ms/tmtcommsec#webapi-https&amp;amp;lt;/a&amp;amp;gt;,Implementation
3,An adversary can gain access to sensitive data stored in Web API's config files,Information Disclosure,Mango System Diagram,Web App Request,Medium,Not Started,DESKTOP-C5TV2FF\pkolosov,"An adversary can gain access to the config files. and if sensitive data is stored in it, it would be compromised.",,10/2/2021 10:50:53 PM,Encrypt sections of Web API&amp;#39;s configuration files that contain sensitive data. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtconfigmgmt#config-sensitive&amp;quot;&amp;amp;gt;https://aka.ms/tmtconfigmgmt#config-sensitive&amp;amp;lt;/a&amp;amp;gt;,Implementation
4,Attacker can deny a malicious act on an API leading to repudiation issues,Repudiation,Mango System Diagram,Web App Request,High,Not Started,DESKTOP-C5TV2FF\pkolosov,Attacker can deny a malicious act on an API leading to repudiation issues,,10/2/2021 10:51:03 PM,Ensure that auditing and logging is enforced on Web API. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#logging-web-api&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#logging-web-api&amp;amp;lt;/a&amp;amp;gt;,Design
5,An adversary may spoof Mango Web Application and gain access to Web API,Spoofing,Mango System Diagram,Web App Request,High,Not Started,DESKTOP-C5TV2FF\pkolosov,"If proper authentication is not in place, an adversary can spoof a source process or external entity and gain unauthorized access to the Web Application ",,10/2/2021 10:51:10 PM,Ensure that standard authentication techniques are used to secure Web APIs. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthn#authn-secure-api&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthn#authn-secure-api&amp;amp;lt;/a&amp;amp;gt;,Design
6,An adversary may inject malicious inputs into an API and affect downstream processes,Tampering,Mango System Diagram,Web App Request,High,Not Started,DESKTOP-C5TV2FF\pkolosov,An adversary may inject malicious inputs into an API and affect downstream processes,,10/2/2021 10:51:15 PM,Ensure that model validation is done on Web API methods. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#validation-api&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#validation-api&amp;amp;lt;/a&amp;amp;gt; Implement input validation on all string type parameters accepted by Web API methods. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#string-api&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#string-api&amp;amp;lt;/a&amp;amp;gt;,Implementation
7,An adversary can gain access to sensitive data by performing SQL injection through Web API,Tampering,Mango System Diagram,Web App Request,High,Not Started,DESKTOP-C5TV2FF\pkolosov,"SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. The primary form of SQL injection consists of direct insertion of code into user-input variables that are concatenated with SQL commands and executed. A less direct attack injects malicious code into strings that are destined for storage in a table or as metadata. When the stored strings are subsequently concatenated into a dynamic SQL command, the malicious code is executed. ",,10/2/2021 10:51:21 PM,Ensure that type-safe parameters are used in Web API for data access. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#typesafe-api&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#typesafe-api&amp;amp;lt;/a&amp;amp;gt;,Implementation
8,An adversary can reverse weakly encrypted or hashed content,Information Disclosure,Mango System Diagram,Web API Response,High,Not Started,DESKTOP-C5TV2FF\pkolosov,An adversary can reverse weakly encrypted or hashed content,,10/2/2021 10:51:30 PM,"Do not expose security details in error messages. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#messages&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#messages&amp;amp;lt;/a&amp;amp;gt; Implement Default error handling page. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#default&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#default&amp;amp;lt;/a&amp;amp;gt; Set Deployment Method to Retail in IIS. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#deployment&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#deployment&amp;amp;lt;/a&amp;amp;gt; Use only approved symmetric block ciphers and key lengths. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#cipher-length&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#cipher-length&amp;amp;lt;/a&amp;amp;gt; Use approved block cipher modes and initialization vectors for symmetric ciphers. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#vector-ciphers&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#vector-ciphers&amp;amp;lt;/a&amp;amp;gt; Use approved asymmetric algorithms, key lengths, and padding. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#padding&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#padding&amp;amp;lt;/a&amp;amp;gt; Use approved random number generators. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#numgen&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#numgen&amp;amp;lt;/a&amp;amp;gt; Do not use symmetric stream ciphers. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#stream-ciphers&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#stream-ciphers&amp;amp;lt;/a&amp;amp;gt; Use approved MAC/HMAC/keyed hash algorithms. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#mac-hash&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#mac-hash&amp;amp;lt;/a&amp;amp;gt; Use only approved cryptographic hash functions. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#hash-functions&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#hash-functions&amp;amp;lt;/a&amp;amp;gt; Verify X.509 certificates used to authenticate SSL, TLS, and DTLS connections. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcommsec#x509-ssltls&amp;quot;&amp;amp;gt;https://aka.ms/tmtcommsec#x509-ssltls&amp;amp;lt;/a&amp;amp;gt;",Implementation
9,An adversary may gain access to sensitive data from log files,Information Disclosure,Mango System Diagram,Web API Response,High,Not Started,DESKTOP-C5TV2FF\pkolosov,An adversary may gain access to sensitive data from log files,,10/2/2021 10:55:46 PM,Ensure that the application does not log sensitive user data. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#log-sensitive-data&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#log-sensitive-data&amp;amp;lt;/a&amp;amp;gt; Ensure that Audit and Log Files have Restricted Access. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#log-restricted-access&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#log-restricted-access&amp;amp;lt;/a&amp;amp;gt;,Implementation
10,An adversary can gain access to sensitive information through error messages,Information Disclosure,Mango System Diagram,Web API Response,High,Not Started,DESKTOP-C5TV2FF\pkolosov,"An adversary can gain access to sensitive data such as the following, through verbose error messages - Server names  - Connection strings  - Usernames  - Passwords  - SQL procedures  - Details of dynamic SQL failures  - Stack trace and lines of code  - Variables stored in memory  - Drive and folder locations  - Application install points  - Host configuration settings  - Other internal application details ",,10/2/2021 10:55:52 PM,Do not expose security details in error messages. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#messages&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#messages&amp;amp;lt;/a&amp;amp;gt; Implement Default error handling page. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#default&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#default&amp;amp;lt;/a&amp;amp;gt; Set Deployment Method to Retail in IIS. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#deployment&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#deployment&amp;amp;lt;/a&amp;amp;gt; Exceptions should fail safely. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#fail&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#fail&amp;amp;lt;/a&amp;amp;gt; ASP.NET applications must disable tracing and debugging prior to deployment. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtconfigmgmt#trace-deploy&amp;quot;&amp;amp;gt;https://aka.ms/tmtconfigmgmt#trace-deploy&amp;amp;lt;/a&amp;amp;gt; Implement controls to prevent username enumeration. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthn#controls-username-enum&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthn#controls-username-enum&amp;amp;lt;/a&amp;amp;gt;,Implementation
11,Attacker can deny the malicious act and remove the attack foot prints leading to repudiation issues,Repudiation,Mango System Diagram,Web API Response,Medium,Not Started,DESKTOP-C5TV2FF\pkolosov,"Proper logging of all security events and user actions builds traceability in a system and denies any possible repudiation issues. In the absence of proper auditing and logging controls, it would become impossible to implement any accountability in a system",,10/2/2021 10:58:03 PM,Ensure that auditing and logging is enforced on the application. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#auditing&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#auditing&amp;amp;lt;/a&amp;amp;gt; Ensure that log rotation and separation are in place. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#log-rotation&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#log-rotation&amp;amp;lt;/a&amp;amp;gt; Ensure that Audit and Log Files have Restricted Access. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#log-restricted-access&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#log-restricted-access&amp;amp;lt;/a&amp;amp;gt; Ensure that User Management Events are Logged. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#user-management&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#user-management&amp;amp;lt;/a&amp;amp;gt;,Implementation
12,An adversary can spoof the target web application due to insecure TLS certificate configuration,Spoofing,Mango System Diagram,Web API Response,High,Not Started,DESKTOP-C5TV2FF\pkolosov,Ensure that TLS certificate parameters are configured with correct values,,10/2/2021 10:58:18 PM,"Verify X.509 certificates used to authenticate SSL, TLS, and DTLS connections. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcommsec#x509-ssltls&amp;quot;&amp;amp;gt;https://aka.ms/tmtcommsec#x509-ssltls&amp;amp;lt;/a&amp;amp;gt;",Implementation
13,An adversary can steal sensitive data like user credentials,Spoofing,Mango System Diagram,Web API Response,High,Not Started,DESKTOP-C5TV2FF\pkolosov,"Attackers can exploit weaknesses in system to steal user credentials. Downstream and upstream components are often accessed by using credentials stored in configuration stores. Attackers may steal the upstream or downstream component credentials. Attackers may steal credentials if, Credentials are stored and sent in clear text, Weak input validation coupled with dynamic sql queries, Password retrieval mechanism are poor,  ",,10/2/2021 11:33:12 PM,Explicitly disable the autocomplete HTML attribute in sensitive forms and inputs. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtdata#autocomplete-input&amp;quot;&amp;amp;gt;https://aka.ms/tmtdata#autocomplete-input&amp;amp;lt;/a&amp;amp;gt; Perform input validation and filtering on all string type Model properties. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#typemodel&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#typemodel&amp;amp;lt;/a&amp;amp;gt; Validate all redirects within the application are closed or done safely. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#redirect-safe&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#redirect-safe&amp;amp;lt;/a&amp;amp;gt; Enable step up or adaptive authentication. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthn#step-up-adaptive-authn&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthn#step-up-adaptive-authn&amp;amp;lt;/a&amp;amp;gt; Implement forgot password functionalities securely. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthn#forgot-pword-fxn&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthn#forgot-pword-fxn&amp;amp;lt;/a&amp;amp;gt; Ensure that password and account policy are implemented. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthn#pword-account-policy&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthn#pword-account-policy&amp;amp;lt;/a&amp;amp;gt; Implement input validation on all string type parameters accepted by Controller methods. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#string-method&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#string-method&amp;amp;lt;/a&amp;amp;gt;,Implementation
14,An adversary can create a fake website and launch phishing attacks,Spoofing,Mango System Diagram,Web API Response,High,Not Started,DESKTOP-C5TV2FF\pkolosov,"Phishing is attempted to obtain sensitive information such as usernames, passwords, and credit card details (and sometimes, indirectly, money), often for malicious reasons, by masquerading as a Web Server which is a trustworthy entity in electronic communication",,10/2/2021 11:45:26 PM,"Verify X.509 certificates used to authenticate SSL, TLS, and DTLS connections. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcommsec#x509-ssltls&amp;quot;&amp;amp;gt;https://aka.ms/tmtcommsec#x509-ssltls&amp;amp;lt;/a&amp;amp;gt; Ensure that authenticated ASP.NET pages incorporate UI Redressing or clickjacking defences. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtconfigmgmt#ui-defenses&amp;quot;&amp;amp;gt;https://aka.ms/tmtconfigmgmt#ui-defenses&amp;amp;lt;/a&amp;amp;gt; Validate all redirects within the application are closed or done safely. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#redirect-safe&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#redirect-safe&amp;amp;lt;/a&amp;amp;gt;",Implementation
144,An adversary can gain unauthorized access to database due to lack of network access protection,Elevation of Privileges,Mango System Diagram,DB Request,High,Not Started,,"If there is no restriction at network or host firewall level, to access the database then anyone can attempt to connect to the database from an unauthorized location",,Generated,"Configure a Windows Firewall for Database Engine Access. Refer: <a href=""https://aka.ms/tmtconfigmgmt#firewall-db"">https://aka.ms/tmtconfigmgmt#firewall-db</a>",Implementation
17,An adversary can gain access to sensitive data stored in Web App's config files,Tampering,Mango System Diagram,Web API Response,High,Not Started,DESKTOP-C5TV2FF\pkolosov,"An adversary can gain access to the config files. and if sensitive data is stored in it, it would be compromised.",,10/2/2021 11:32:57 PM,Encrypt sections of Web App&amp;#39;s configuration files that contain sensitive data. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtdata#encrypt-data&amp;quot;&amp;amp;gt;https://aka.ms/tmtdata#encrypt-data&amp;amp;lt;/a&amp;amp;gt;,Implementation
18,An adversary can perform action on behalf of other user due to lack of controls against cross domain requests,Denial of Service,Mango System Diagram,Browser UI Update,High,Not Started,DESKTOP-C5TV2FF\pkolosov,Failure to restrict requests originating from third party domains may result in unauthorized actions or access of data,,10/2/2021 11:32:48 PM,Ensure that authenticated ASP.NET pages incorporate UI Redressing or clickjacking defences. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtconfigmgmt#ui-defenses&amp;quot;&amp;amp;gt;https://aka.ms/tmtconfigmgmt#ui-defenses&amp;amp;lt;/a&amp;amp;gt; Ensure that only trusted origins are allowed if CORS is enabled on ASP.NET Web Applications. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtconfigmgmt#cors-aspnet&amp;quot;&amp;amp;gt;https://aka.ms/tmtconfigmgmt#cors-aspnet&amp;amp;lt;/a&amp;amp;gt; Mitigate against Cross-Site Request Forgery (CSRF) attacks on ASP.NET web pages. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtsmgmt#csrf-asp&amp;quot;&amp;amp;gt;https://aka.ms/tmtsmgmt#csrf-asp&amp;amp;lt;/a&amp;amp;gt;,Implementation
19,An adversary may bypass critical steps or perform actions on behalf of other users (victims) due to improper validation logic,Elevation of Privileges,Mango System Diagram,Browser UI Update,High,Not Started,DESKTOP-C5TV2FF\pkolosov,Failure to restrict the privileges and access rights to the application to individuals who require the privileges or access rights may result into unauthorized use of data due to inappropriate rights settings and validation.,,10/2/2021 11:32:42 PM,Ensure that administrative interfaces are appropriately locked down. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthn#admin-interface-lockdown&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthn#admin-interface-lockdown&amp;amp;lt;/a&amp;amp;gt; Enforce sequential step order when processing business logic flows. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthz#sequential-logic&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthz#sequential-logic&amp;amp;lt;/a&amp;amp;gt; Ensure that proper authorization is in place and principle of least privileges is followed. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthz#principle-least-privilege&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthz#principle-least-privilege&amp;amp;lt;/a&amp;amp;gt; Business logic and resource access authorization decisions should not be based on incoming request parameters. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthz#logic-request-parameters&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthz#logic-request-parameters&amp;amp;lt;/a&amp;amp;gt; Ensure that content and resources are not enumerable or accessible via forceful browsing. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthz#enumerable-browsing&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthz#enumerable-browsing&amp;amp;lt;/a&amp;amp;gt;,Implementation
20,An adversary can reverse weakly encrypted or hashed content,Information Disclosure,Mango System Diagram,Browser UI Update,High,Not Started,DESKTOP-C5TV2FF\pkolosov,An adversary can reverse weakly encrypted or hashed content,,10/2/2021 11:32:39 PM,"Do not expose security details in error messages. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#messages&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#messages&amp;amp;lt;/a&amp;amp;gt; Implement Default error handling page. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#default&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#default&amp;amp;lt;/a&amp;amp;gt; Set Deployment Method to Retail in IIS. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#deployment&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#deployment&amp;amp;lt;/a&amp;amp;gt; Use only approved symmetric block ciphers and key lengths. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#cipher-length&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#cipher-length&amp;amp;lt;/a&amp;amp;gt; Use approved block cipher modes and initialization vectors for symmetric ciphers. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#vector-ciphers&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#vector-ciphers&amp;amp;lt;/a&amp;amp;gt; Use approved asymmetric algorithms, key lengths, and padding. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#padding&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#padding&amp;amp;lt;/a&amp;amp;gt; Use approved random number generators. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#numgen&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#numgen&amp;amp;lt;/a&amp;amp;gt; Do not use symmetric stream ciphers. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#stream-ciphers&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#stream-ciphers&amp;amp;lt;/a&amp;amp;gt; Use approved MAC/HMAC/keyed hash algorithms. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#mac-hash&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#mac-hash&amp;amp;lt;/a&amp;amp;gt; Use only approved cryptographic hash functions. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#hash-functions&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#hash-functions&amp;amp;lt;/a&amp;amp;gt; Verify X.509 certificates used to authenticate SSL, TLS, and DTLS connections. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcommsec#x509-ssltls&amp;quot;&amp;amp;gt;https://aka.ms/tmtcommsec#x509-ssltls&amp;amp;lt;/a&amp;amp;gt;",Implementation
21,An adversary may gain access to sensitive data from log files,Information Disclosure,Mango System Diagram,Browser UI Update,High,Not Started,DESKTOP-C5TV2FF\pkolosov,An adversary may gain access to sensitive data from log files,,10/2/2021 11:21:26 PM,Ensure that the application does not log sensitive user data. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#log-sensitive-data&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#log-sensitive-data&amp;amp;lt;/a&amp;amp;gt; Ensure that Audit and Log Files have Restricted Access. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#log-restricted-access&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#log-restricted-access&amp;amp;lt;/a&amp;amp;gt;,Implementation
30,An adversary can spoof the target web application due to insecure TLS certificate configuration,Spoofing,Mango System Diagram,Browser UI Update,High,Not Started,DESKTOP-C5TV2FF\pkolosov,Ensure that TLS certificate parameters are configured with correct values,,10/2/2021 10:56:05 PM,"Verify X.509 certificates used to authenticate SSL, TLS, and DTLS connections. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcommsec#x509-ssltls&amp;quot;&amp;amp;gt;https://aka.ms/tmtcommsec#x509-ssltls&amp;amp;lt;/a&amp;amp;gt;",Implementation
31,An adversary can steal sensitive data like user credentials,Spoofing,Mango System Diagram,Browser UI Update,High,Not Started,DESKTOP-C5TV2FF\pkolosov,"Attackers can exploit weaknesses in system to steal user credentials. Downstream and upstream components are often accessed by using credentials stored in configuration stores. Attackers may steal the upstream or downstream component credentials. Attackers may steal credentials if, Credentials are stored and sent in clear text, Weak input validation coupled with dynamic sql queries, Password retrieval mechanism are poor,  ",,10/2/2021 10:56:15 PM,Explicitly disable the autocomplete HTML attribute in sensitive forms and inputs. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtdata#autocomplete-input&amp;quot;&amp;amp;gt;https://aka.ms/tmtdata#autocomplete-input&amp;amp;lt;/a&amp;amp;gt; Perform input validation and filtering on all string type Model properties. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#typemodel&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#typemodel&amp;amp;lt;/a&amp;amp;gt; Validate all redirects within the application are closed or done safely. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#redirect-safe&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#redirect-safe&amp;amp;lt;/a&amp;amp;gt; Enable step up or adaptive authentication. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthn#step-up-adaptive-authn&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthn#step-up-adaptive-authn&amp;amp;lt;/a&amp;amp;gt; Implement forgot password functionalities securely. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthn#forgot-pword-fxn&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthn#forgot-pword-fxn&amp;amp;lt;/a&amp;amp;gt; Ensure that password and account policy are implemented. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthn#pword-account-policy&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthn#pword-account-policy&amp;amp;lt;/a&amp;amp;gt; Implement input validation on all string type parameters accepted by Controller methods. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#string-method&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#string-method&amp;amp;lt;/a&amp;amp;gt;,Implementation
130,An adversary can gain access to sensitive data by performing SQL injection through Web API,Tampering,Mango System Diagram,Mobile App Request,High,Not Started,,"SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. The primary form of SQL injection consists of direct insertion of code into user-input variables that are concatenated with SQL commands and executed. A less direct attack injects malicious code into strings that are destined for storage in a table or as metadata. When the stored strings are subsequently concatenated into a dynamic SQL command, the malicious code is executed. ",,Generated,"Ensure that type-safe parameters are used in Web API for data access. Refer: <a href=""https://aka.ms/tmtinputval#typesafe-api"">https://aka.ms/tmtinputval#typesafe-api</a>",Implementation
